日期,開盤,收盤,現金,持股,持股價值,總價值,報酬率,動作,交易信號,買入機率,賣出機率
2020-01-01,129.630661,130.802002,27.717122173053212,7633,998411.6812659999,998439.398388173,-0.0015606016118270346,buy,buy,0.9658,0.0001
2020-01-02,130.820038,127.410179,27.717122173053212,7633,972521.896307,972549.613429173,-0.027450386570826987,buy,,0.9772,0.0001
2020-01-03,127.411263,134.171707,27.717122173053212,7633,1024132.6395309999,1024160.356653173,0.02416035665317299,buy,,0.9384,0.0001
2020-01-04,134.168518,135.069366,27.717122173053212,7633,1030984.470678,1031012.1878001731,0.031012187800173067,buy,,0.8298000000000001,0.0001
2020-01-05,135.072098,136.276779,27.717122173053212,7633,1040200.654107,1040228.371229173,0.040228371229173034,buy,,0.9525,0.0001
2020-01-06,136.305542,144.304153,27.717122173053212,7633,1101473.599849,1101501.316971173,0.10150131697117304,buy,,0.9095,0.0001
2020-01-07,144.311996,143.543991,27.717122173053212,7633,1095671.283303,1095699.000425173,0.09569900042517297,buy,,0.9666,0.0001
2020-01-08,143.487823,141.258133,27.717122173053212,7633,1078223.329189,1078251.0463111731,0.07825104631117312,buy,,0.9458,0.0001
2020-01-09,141.155777,138.979202,27.717122173053212,7633,1060828.248866,1060855.9659881731,0.06085596598817315,buy,,0.9981,0.0
2020-01-10,138.967041,143.963776,27.717122173053212,7633,1098875.502208,1098903.219330173,0.09890321933017299,buy,,0.8991,0.0004
2020-01-11,143.409103,142.927109,27.717122173053212,7633,1090962.622997,1090990.3401191733,0.09099034011917329,buy,,0.9494,0.0004
2020-01-12,143.032547,145.873932,27.717122173053212,7633,1113455.722956,1113483.4400781728,0.11348344007817283,buy,,0.9843999999999999,0.0001
2020-01-13,146.220139,144.226593,27.717122173053212,7633,1100881.584369,1100909.301491173,0.10090930149117298,buy,,0.9587,0.0002
2020-01-14,144.251053,165.955353,27.717122173053212,7633,1266737.209449,1266764.9265711731,0.2667649265711731,buy,,0.9762000000000001,0.0014000000000000002
2020-01-15,165.734619,166.230682,27.717122173053212,7633,1268838.795706,1268866.512828173,0.26886651282817314,buy,,0.6027,0.0215
2020-01-16,166.332825,164.391006,27.717122173053212,7633,1254796.548798,1254824.265920173,0.25482426592017293,buy,,0.7464,0.0034999999999999996
2020-01-17,164.48938,170.779953,27.717122173053212,7633,1303563.381249,1303591.0983711733,0.30359109837117326,buy,,0.7606999999999999,0.10779999999999999
2020-01-18,170.747726,175.365677,1337463.266229053,0,0.0,1337463.266229053,0.33746326622905304,sell,sell,0.0941,0.8495999999999999
2020-01-19,175.46759,166.969849,1337463.266229053,0,0.0,1337463.266229053,0.33746326622905304,hold,,0.138,0.1607
2020-01-20,166.904129,167.120514,1337463.266229053,0,0.0,1337463.266229053,0.33746326622905304,sell,,0.07429999999999999,0.7744
2020-01-21,167.060471,169.697159,1337463.266229053,0,0.0,1337463.266229053,0.33746326622905304,sell,,0.0516,0.8503000000000001
2020-01-22,169.608536,168.294159,1337463.266229053,0,0.0,1337463.266229053,0.33746326622905304,sell,,0.0305,0.8886
2020-01-23,168.2957,162.928558,111.2325131718535,8198,1335688.3184840002,1335799.550997172,0.335799550997172,buy,buy,0.6723,0.1548
2020-01-24,162.899368,163.051178,111.2325131718535,8198,1336693.557244,1336804.7897571719,0.3368047897571719,buy,,0.9512999999999999,0.0231
2020-01-25,163.067291,161.283936,111.2325131718535,8198,1322205.707328,1322316.939841172,0.32231693984117193,buy,,0.9923000000000001,0.0021
