Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-12,16.262501,16.475,16.262501,11.893225,69862572.0,0,0
2015-10-13,16.4,16.4125,16.2875,11.847864,29959156.0,0,0
2015-10-14,16.325001,16.325001,16.237499,11.802503,28543832.0,0,0
2015-10-15,16.4125,16.5875,16.4125,11.974868,57431960.0,0,0
2015-10-16,16.487499,16.5,16.4,11.929509,32757704.0,0,0
2015-10-19,16.5,16.549999,16.424999,11.965795,29644636.0,0,0
2015-10-20,16.5,16.525,16.450001,11.965795,18107092.0,0,0
2015-10-21,16.525,16.5375,16.35,11.884151,45993828.0,0,0
2015-10-22,16.325001,16.4,16.3125,11.884151,32264944.0,0,0
2015-10-23,16.549999,16.625,16.4625,11.956724,82751032.0,0,0
2015-10-26,16.125,16.2125,16.112499,12.078352,48328160.0,0,0
2015-10-27,16.125,16.137501,15.9875,12.012857,22892952.0,0,0
2015-10-28,16.049999,16.0625,15.9,11.928657,20302760.0,0,0
2015-10-29,16.025,16.075001,15.775,11.844456,33655348.0,0,0
2015-10-30,15.825,15.8625,15.7,11.825746,23967300.0,0,0
2015-11-02,15.775,15.85,15.65,11.844456,19325108.0,0,0
2015-11-03,15.95,16.1,15.95,12.031572,37172988.0,0,0
2015-11-04,16.1875,16.4,16.174999,12.265469,66205444.0,0,0
2015-11-05,16.4125,16.4125,16.3125,12.237401,23609368.0,0,0
2015-11-06,16.35,16.35,15.9125,11.994148,47662236.0,0,0
2015-11-09,16.0,16.0875,15.9,11.909946,22131276.0,0,0
2015-11-10,15.825,15.85,15.7125,11.76961,35388764.0,0,0
2015-11-11,15.725,15.75,15.4875,11.629272,65172616.0,0,0
2015-11-12,15.55,15.6,15.4625,11.647985,56855872.0,0,0
2015-11-13,15.45,15.6125,15.3875,11.526356,81538236.0,0,0
2015-11-16,15.3,15.325,15.15,11.442158,53719004.0,0,0
2015-11-17,15.5,15.65,15.5,11.666694,34913792.0,0,0
2015-11-18,15.5875,15.5875,15.3,11.488935,59925748.0,0,0
2015-11-19,15.4875,15.575,15.3875,11.65734,40525304.0,0,0
2015-11-20,15.5875,15.625,15.5125,11.65734,21686748.0,0,0
2015-11-23,15.65,15.6875,15.5375,11.713476,13851312.0,0,0
2015-11-24,15.625,15.6625,15.4625,11.591846,26393992.0,0,0
2015-11-25,15.4625,15.525,15.375,11.591846,23856544.0,0,0
2015-11-26,15.575,15.7375,15.575,11.750898,34569348.0,0,0
2015-11-27,15.725,15.725,15.45,11.591846,25162904.0,0,0
2015-11-30,15.225,15.3,15.1125,11.45151,93074088.0,0,0
2015-12-01,15.425,15.6125,15.3625,11.676051,33639916.0,0,0
2015-12-02,15.6125,15.6875,15.5375,11.65734,25444828.0,0,0
2015-12-03,15.475,15.6375,15.425,11.676051,24260312.0,0,0
2015-12-04,15.4875,15.4875,15.35,11.554427,60194600.0,0,0
2015-12-07,15.55,15.75,15.55,11.694762,59257732.0,0,0
2015-12-08,15.5625,15.575,15.3,11.507647,36803436.0,0,0
2015-12-09,15.3,15.3375,15.175,11.36731,64357768.0,0,0
2015-12-10,15.1,15.1875,14.9375,11.329885,66464068.0,0,0
2015-12-11,15.1375,15.175,14.95,11.198906,55343128.0,0,0
2015-12-14,14.8125,14.9125,14.75,11.114703,38114844.0,0,0
2015-12-15,14.925,15.0125,14.8375,11.124058,27187368.0,0,0
2015-12-16,15.0,15.1,14.925,11.29246,26121188.0,0,0
2015-12-17,15.1375,15.2625,15.0875,11.423444,30436996.0,0,0
2015-12-18,15.2125,15.3125,15.125,11.36731,19572584.0,0,0
2015-12-21,15.0125,15.1875,14.975,11.348597,17362548.0,0,0
2015-12-22,15.175,15.225,15.1,11.376665,20554364.0,0,0
2015-12-23,15.2375,15.325,15.2,11.395377,29054268.0,0,0
2015-12-24,15.3375,15.4125,15.3,11.45151,33825888.0,0,0
2015-12-25,15.3,15.4,15.3,11.526356,26184032.0,0,0
2015-12-28,15.425,15.425,15.35,11.498291,13797212.0,0,0
2015-12-29,15.35,15.35,15.2,11.414088,15866208.0,0,0
2015-12-30,15.2875,15.2875,15.1125,11.329885,29049864.0,0,0
2015-12-31,15.1375,15.2375,15.125,11.36731,15577916.0,0,0
2016-01-04,15.2,15.2375,14.7625,11.142768,67712252.0,0,0
2016-01-05,14.875,14.9375,14.7125,11.049209,87135876.0,0,0
2016-01-06,14.7625,14.7625,14.475,10.936942,115758200.0,0,0
2016-01-07,14.575,14.575,14.175,10.731115,159849204.0,0,0
2016-01-08,14.25,14.425,14.2125,10.749825,101802936.0,0,0
2016-01-11,14.225,14.2375,14.0,10.581422,97425076.0,0,0
2016-01-12,14.2,14.25,14.075,10.572066,70599544.0,0,0
2016-01-13,14.25,14.375,14.1875,10.69369,47393728.0,0,0
2016-01-14,14.125,14.175,13.9625,10.609488,61949440.0,0,0
2016-01-15,14.275,14.375,14.0625,10.609488,83391512.0,0,0
2016-01-18,13.975,14.325,13.95,10.684335,52057360.0,0,0
2016-01-19,14.25,14.3125,14.1625,10.712401,32443260.0,0,0
2016-01-20,14.2125,14.2125,13.9,10.459796,90753472.0,0,0
2016-01-21,14.025,14.075,13.9,10.441085,41800220.0,0,0
