Date,Open,Close,open_bin,high_bin,low_bin,close_bin,volume_bin,rsi_3_bin,rsi_5_bin,rsi_7_bin,rsi_10_bin,rsi_14_bin,stoch_k_bin,stoch_d_bin,macd_bin,macd_signal_bin,macd_hist_bin,sma_5_bin,sma_10_bin,sma_20_bin,sma_50_bin,ema_5_bin,ema_12_bin,ema_26_bin,bb_upper_bin,bb_lower_bin,bb_middle_bin,atr_14_bin,williams_r_bin,cci_20_bin,obv_bin,adx_bin,di_plus_bin,di_minus_bin,price_change_pct_bin,volume_sma_20_bin,price_sma_20_diff_bin,price_ema_12_diff_bin
2024-01-23,150.850006,151.199997,Q2,Q2,Q2,Q2,Q4,Q4,Q3,Q2,Q2,Q2,Q4,Q2,Q1,Q1,Q2,Q1,Q1,Q1,Q2,Q2,Q1,Q2,Q2,Q2,Q1,Q3,Q4,Q3,Q2,Q1,Q2,Q3,Q3,Q4,Q2,Q3
2024-01-24,151.550003,151.399994,Q2,Q2,Q2,Q2,Q3,Q4,Q4,Q2,Q2,Q2,Q2,Q3,Q1,Q1,Q2,Q2,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q1,Q3,Q2,Q3,Q2,Q1,Q2,Q2,Q2,Q4,Q2,Q2
2024-01-25,153.149994,153.5,Q3,Q2,Q2,Q2,Q2,Q4,Q4,Q3,Q2,Q3,Q4,Q4,Q2,Q1,Q3,Q2,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q4,Q4,Q3,Q1,Q2,Q2,Q4,Q4,Q3,Q3
2024-01-26,152.850006,153.100006,Q2,Q2,Q2,Q2,Q4,Q3,Q4,Q4,Q2,Q2,Q3,Q3,Q2,Q1,Q3,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q2,Q2,Q2,Q3,Q2,Q4,Q2,Q2
2024-01-29,153.050003,155.699997,Q2,Q3,Q3,Q3,Q2,Q3,Q4,Q4,Q3,Q3,Q4,Q4,Q2,Q1,Q3,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q1,Q2,Q2,Q4,Q4,Q3,Q2,Q3,Q2,Q4,Q4,Q3,Q3
2024-01-30,155.199997,155.149994,Q3,Q3,Q3,Q3,Q1,Q2,Q3,Q4,Q4,Q3,Q3,Q4,Q3,Q2,Q3,Q3,Q2,Q2,Q2,Q3,Q2,Q2,Q2,Q1,Q2,Q2,Q3,Q4,Q2,Q2,Q3,Q2,Q1,Q4,Q3,Q3
2024-01-31,152.899994,152.0,Q2,Q2,Q2,Q2,Q3,Q2,Q2,Q2,Q3,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q1,Q3,Q3,Q2,Q2,Q2,Q2,Q2,Q3,Q1,Q4,Q2,Q2
2024-02-01,152.399994,152.649994,Q2,Q2,Q2,Q2,Q1,Q1,Q1,Q2,Q3,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q2,Q3,Q3,Q3,Q1,Q3,Q2,Q2,Q2,Q2,Q3,Q2,Q3,Q3,Q4,Q2,Q2
2024-02-02,154.350006,154.899994,Q3,Q3,Q3,Q3,Q2,Q2,Q2,Q2,Q3,Q2,Q3,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q1,Q3,Q2,Q3,Q2,Q2,Q3,Q3,Q3,Q4,Q3,Q3,Q2
2024-02-05,153.649994,155.050003,Q3,Q3,Q3,Q3,Q2,Q4,Q1,Q2,Q2,Q3,Q3,Q2,Q3,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q2,Q3,Q1,Q3,Q2,Q3,Q3,Q3,Q2,Q2,Q3,Q2,Q2
