Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI_3,RSI_5,RSI_7,RSI_10,RSI_14,%K,%D,MACD,MACD_Signal,MACD_Histogram,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_12,EMA_26,BB_Upper,BB_Lower,BB_Middle,ATR_14,Williams_R,CCI_20,OBV,ADX,DI_Plus,DI_Minus,Price_Change_Pct,Volume_SMA_20,Price_SMA_20_Diff,Price_EMA_12_Diff,window_id,window_start,window_end,window_weeks,open_bin,high_bin,low_bin,close_bin,volume_bin,rsi_3_bin,rsi_5_bin,rsi_7_bin,rsi_10_bin,rsi_14_bin,stoch_k_bin,stoch_d_bin,macd_bin,macd_signal_bin,macd_hist_bin,sma_5_bin,sma_10_bin,sma_20_bin,sma_50_bin,ema_5_bin,ema_12_bin,ema_26_bin,bb_upper_bin,bb_lower_bin,bb_middle_bin,atr_14_bin,williams_r_bin,cci_20_bin,obv_bin,adx_bin,di_plus_bin,di_minus_bin,price_change_pct_bin,volume_sma_20_bin,price_sma_20_diff_bin,price_ema_12_diff_bin,window_data_count,window_price_range,window_price_volatility,window_avg_volume
2015-10-12,16.262501,16.475,16.262501,11.893225,69862572.0,0,0,,,,,,,,0.0,0.0,0.0,,,,,11.893225,11.893225,11.893225,,,,,,,0.0,,,,,,,0.0,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q3,Q4,,,,,,,,Q3,Q3,Q3,,,,Q1,Q3,Q3,Q3,,,,,,,Q4,,,,,,,Q3,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-13,16.4,16.4125,16.2875,11.847864,29959156.0,0,0,,,,,,,,-0.0036185413105407,-0.0007237082621081,-0.0028948330484325,,,,,11.878104666666667,11.886246384615385,11.889864925925924,,,,,,,-29959156.0,,,,-0.3814020166943765,,,-0.0383823846153852,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q3,Q2,,,,,,,,Q3,Q3,Q2,,,,Q1,Q3,Q3,Q3,,,,,,,Q3,,,,Q2,,,Q3,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-14,16.325001,16.325001,16.237499,11.802503,28543832.0,0,0,0.0,,,,,,,-0.0100308851713855,-0.0025851436439636,-0.0074457415274218,,,,,11.852904111111112,11.873362786982248,11.883393672153634,,,,,,,-58502988.0,,,,-0.3828622610792975,,,-0.0708597869822487,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q3,Q2,Q1,,,,,,,Q3,Q3,Q2,,,,Q1,Q3,Q3,Q3,,,,,,,Q3,,,,Q2,,,Q2,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-15,16.4125,16.5875,16.4125,11.974868,57431960.0,0,0,65.51635010471847,,,,,,,-0.0011905746900371,-0.0023062298531783,0.0011156551631411,,,,,11.893558740740742,11.888978973600365,11.890169548290402,,,,,,,-1071028.0,,,,1.4604105586755622,,,0.0858890263996361,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q4,Q4,Q3,,,,,,,Q3,Q3,Q3,,,,Q1,Q3,Q3,Q3,,,,,,,Q4,,,,Q4,,,Q4,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-16,16.487499,16.5,16.4,11.929509,32757704.0,0,0,65.51684816694211,55.88174267132658,,,,,,0.0021307805268602,-0.0014188277771706,0.0035496083040308,11.8895938,,,,11.905542160493829,11.895214362277232,11.893083581750371,,,,,,,-33828732.0,,,,-0.37878496865269,,,0.0342946377227679,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q4,Q2,Q3,Q3,,,,,,Q3,Q3,Q3,Q3,,,Q1,Q3,Q3,Q3,,,,,,,Q3,,,,Q2,,,Q3,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-19,16.5,16.549999,16.424999,11.965795,29644636.0,0,0,82.14282902247912,60.525567687362965,,,,,,0.0076033091950638,0.0003855996172762,0.0072177095777875,11.9041078,,,,11.92562644032922,11.906072921926889,11.898469612731825,,,,,,,-4184096.0,,,,0.3041701045701117,,,0.0597220780731113,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q4,Q2,Q4,Q4,,,,,,Q4,Q3,Q4,Q3,,,Q1,Q4,Q3,Q3,,,,,,,Q3,,,,Q3,,,Q4,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-20,16.5,16.525,16.450001,11.965795,18107092.0,0,0,44.44362790127958,69.69646358531713,60.525567687362965,,,,,0.0118042554827422,0.0026693307903694,0.0091349246923727,11.927694,,,,11.93901596021948,11.915260933938136,11.903456678455392,,,,,,,-4184096.0,,,,0.0,,,0.0505340660618642,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q4,Q1,Q2,Q4,Q4,,,,,Q4,Q3,Q4,Q3,,,Q1,Q4,Q4,Q3,,,,,,,Q3,,,,Q3,,,Q4,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-21,16.525,16.5375,16.35,11.884151,45993828.0,0,0,30.76910031374554,62.16252450440017,48.93591571758261,,,,,0.0084481620559078,0.0038250970434771,0.0046230650124306,11.9440236,,,,11.92072764014632,11.910474790255346,11.902026628199438,,,,,,,-50177924.0,,,,-0.6823115388488676,,,-0.026323790255347,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q3,Q3,Q2,Q4,Q3,,,,,Q4,Q3,Q3,Q4,,,Q1,Q3,Q3,Q3,,,,,,,Q3,,,,Q2,,,Q3,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-22,16.325001,16.4,16.3125,11.884151,32264944.0,0,0,0.0,22.221950039500484,54.76188601498621,,,,,0.0057224687778365,0.004204571390349,0.0015178973874875,11.9258802,,,,11.908535426764214,11.906424976369909,11.900702507592072,,,,,,,-50177924.0,,,,0.0,,,-0.0222739763699095,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q3,Q2,Q1,Q1,Q3,,,,,Q3,Q3,Q3,Q3,,,Q1,Q3,Q3,Q3,,,,,,,Q3,,,,Q3,,,Q3,50,1.150765999999999,0.2679229488866033,40528054.72
2015-10-23,16.549999,16.625,16.4625,11.956724,82751032.0,0,0,47.05901424615949,57.14293213230232,68.88912296344905,56.363275605322364,,,,0.0093110399271783,0.0052258650977148,0.0040851748294634,11.9313232,11.9104585,,,11.924598284509475,11.914163287697615,11.904852247770435,,,,,,,32573108.0,,,,0.6106704635442606,,,0.0425607123023841,0,2015-10-12,2015-12-20,10,Q4,Q4,Q4,Q4,Q4,Q3,Q3,Q4,Q4,,,,Q4,Q3,Q3,Q4,Q3,,Q1,Q4,Q4,Q3,,,,,,,Q4,,,,Q4,,,Q4,50,1.150765999999999,0.2679229488866033,40528054.72
